Lib,Type,ReadLength,Volume/G,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,GC/%,Q20/%,Q30/%,SingleReadsCount/M
Undetermined,PE,76,7.17,8.52,NA,NA,NA,NA,NA,94.37
HUMCDGEYDPEI-243-v108,PE,76,3.01,3.58,7.27,99.94,45.58,94.82,93.02,39.59
HUMCNGEXSPEI-231-v109,PE,76,1.86,2.22,5.36,99.94,47.69,93.40,91.15,24.54
HUMCNGEXTPEI-274-v109,PE,76,1.57,1.87,4.93,99.94,48.06,93.13,90.82,20.66
HUMCNGEXUPEI-240-v109,PE,76,1.32,1.57,5.83,99.95,46.93,93.48,91.26,17.35
HUMCNGEXVPEI-235-v109,PE,76,1.72,2.05,7.87,99.94,48.57,93.39,91.15,22.68
HUMCNGEXWPEI-220-v109,PE,76,1.68,2.00,3.80,99.94,47.97,93.33,91.06,22.11
HUMCNGEXYPEI-206-v109,PE,76,1.76,2.10,7.95,99.94,49.27,93.26,90.98,23.20
HUMCNGEYLPEI-279-v109,PE,76,1.42,1.69,6.27,99.95,48.36,92.82,90.43,18.69
HUMCNGEXZPEI-215-v109,PE,76,4.24,5.04,4.47,99.94,48.67,93.19,90.91,55.82
HUMCNGENWPEI-281-v109,PE,76,0.81,0.96,5.58,99.95,47.58,92.37,89.81,10.60
HUMCNGENVPEI-275-v109,PE,76,3.23,3.84,7.53,99.95,49.07,92.85,90.45,42.53
HUMCNGEYNPEI-284-v109,PE,76,5.77,6.86,3.68,99.92,52.24,93.21,91.18,75.98
HUMCNGEYMPEI-280-v109,PE,76,5.25,6.24,5.52,99.94,48.82,93.18,90.88,69.03
HUMCDGEYIPEI-267-v109,PE,76,13.65,16.22,6.39,99.94,49.12,93.97,91.94,179.61
HUMCDGEYJPEI-269-v109,PE,76,13.43,15.96,2.21,99.94,48.75,94.14,92.19,176.66
HUMCDGEYFPEI-213-v109,PE,76,15.94,18.95,2.22,99.94,48.52,94.08,92.12,209.79
HUMCAAXH0PEI-108-mini,PE,76,0.30,0.36,4.00,99.82,42.94,93.72,91.71,3.93
HYTCHBGX3_Total,PE,76,84.14,100.00,NA,99.94,48.80,93.73,91.65,1107.15
